Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,CLV_range,CLV_scaled
UO54511,California,4950.250892,No,Basic,High School or Below,1/20/2011,Employed,F,27400,Suburban,Married,63,14,78,1,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,0,-0.1670582656379202
VR18539,Washington,8311.854644,No,Basic,College,2/27/2011,Employed,M,44843,Urban,Single,105,14,34,0,3,Personal Auto,Personal L2,Offer1,Branch,391.419263,SUV,Medsize,0,0.5096045969239938
PP39078,California,5623.6111869999995,No,Basic,College,2/19/2011,Employed,F,31504,Suburban,Married,71,8,27,0,3,Special Auto,Special L1,Offer4,Branch,340.8,Four-Door Car,Small,0,-0.03151644144785881
GM48223,Oregon,5461.967787,No,Basic,Bachelor,2/6/2011,Employed,F,42650,Rural,Married,69,10,92,0,5,Personal Auto,Personal L1,Offer3,Agent,35.565605,Four-Door Car,Medsize,0,-0.06405391279413677
UW10841,California,9976.245490000001,No,Basic,Bachelor,2/21/2011,Employed,M,74115,Urban,Married,63,24,24,0,2,Personal Auto,Personal L2,Offer2,Branch,275.349481,Four-Door Car,Medsize,0,0.8446326244260907
GU82475,California,6532.010543,No,Extended,College,1/25/2011,Employed,M,24919,Suburban,Married,84,21,2,1,5,Personal Auto,Personal L3,Offer2,Call Center,420.420755,Four-Door Car,Small,0,0.15133678990478158
LO17461,Arizona,2885.742441,No,Basic,High School or Below,2/16/2011,Employed,F,35654,Suburban,Married,72,17,19,0,1,Personal Auto,Personal L1,Offer2,Branch,515.122954,Two-Door Car,Small,0,-0.5826266375514114
LA60344,Arizona,18690.340659999998,No,Basic,College,2/19/2011,Unemployed,M,0,Suburban,Single,68,6,94,0,2,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,Small,1,2.59870747005922
KA13067,Oregon,8370.401649,No,Basic,High School or Below,1/27/2011,Employed,M,77512,Urban,Divorced,104,2,5,0,6,Corporate Auto,Corporate L3,Offer2,Branch,433.60853399999996,SUV,Small,0,0.521389621846743
XY28151,Oregon,2317.282049,No,Basic,Bachelor,1/16/2011,Unemployed,F,0,Suburban,Single,68,10,81,0,1,Corporate Auto,Corporate L2,Offer1,Call Center,489.6,Two-Door Car,Medsize,0,-0.6970529841649691
WA15684,Oregon,38445.85587,No,Extended,College,1/29/2011,Employed,M,27398,Suburban,Married,125,4,71,1,2,Personal Auto,Personal L1,Offer4,Call Center,600.0,SUV,Medsize,1,6.575328291424854
EQ68292,Arizona,5334.784887,No,Basic,Bachelor,2/19/2011,Employed,M,74606,Rural,Divorced,68,2,34,0,5,Corporate Auto,Corporate L3,Offer4,Agent,109.11271299999999,Two-Door Car,Small,0,-0.08965477224454756
TK65222,California,16407.66461,No,Premium,Bachelor,1/12/2011,Employed,M,22103,Rural,Single,109,16,31,0,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,0,2.1392237758922454
EZ85603,Arizona,11631.87866,No,Premium,College,1/6/2011,Unemployed,F,0,Suburban,Married,152,8,94,0,7,Personal Auto,Personal L3,Offer1,Branch,1082.8146359999998,SUV,Medsize,0,1.1778978046241213
TU33850,Washington,4617.391775,No,Basic,Bachelor,1/25/2011,Medical Leave,F,16764,Suburban,Married,61,13,79,0,7,Personal Auto,Personal L3,Offer1,Branch,292.8,Four-Door Car,Medsize,0,-0.2340600360890174
WK62379,Washington,8903.966435,No,Premium,Bachelor,1/7/2011,Medical Leave,F,15142,Suburban,Married,116,7,5,0,3,Personal Auto,Personal L2,Offer2,Branch,792.609747,Two-Door Car,Small,0,0.6287917733472557
JZ28301,Oregon,5552.331515,No,Basic,College,2/28/2011,Employed,F,35011,Urban,Married,70,7,91,0,8,Personal Auto,Personal L3,Offer4,Call Center,215.72846800000002,Four-Door Car,Large,0,-0.045864446286114385
UI53874,Arizona,7294.846132,No,Basic,Doctor,2/2/2011,Unemployed,F,0,Suburban,Divorced,67,13,91,0,2,Personal Auto,Personal L3,Offer1,Agent,321.6,Four-Door Car,Medsize,0,0.3048892462315389
MD44130,Oregon,5712.380598,No,Basic,High School or Below,1/28/2011,Employed,M,24882,Suburban,Married,72,13,20,0,8,Corporate Auto,Corporate L2,Offer4,Branch,345.6,Two-Door Car,Large,0,-0.013647897685240109
NF82527,Arizona,2631.564135,No,Basic,Bachelor,1/8/2011,Unemployed,M,0,Suburban,Married,71,11,68,0,1,Personal Auto,Personal L3,Offer2,Call Center,340.8,Two-Door Car,Large,0,-0.6337906154702159
ZV80216,Oregon,5619.689084000001,Yes,Premium,High School or Below,1/26/2011,Unemployed,M,0,Suburban,Married,153,25,5,0,1,Personal Auto,Personal L1,Offer2,Web,1027.0000289999998,SUV,Medsize,0,-0.03230592814499347
HB59616,Washington,4502.9800159999995,No,Basic,College,2/9/2011,Unemployed,F,0,Suburban,Single,64,29,72,0,6,Personal Auto,Personal L2,Offer1,Agent,307.2,Two-Door Car,Large,0,-0.2570901711278732
PD94315,Arizona,22256.69368,No,Premium,Bachelor,2/17/2011,Disabled,F,23444,Suburban,Married,196,7,62,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,940.8,SUV,Medsize,1,3.316584656501488
AO20938,Arizona,32021.40422,No,Basic,High School or Below,1/12/2011,Employed,F,31433,Suburban,Married,100,5,23,0,2,Personal Auto,Personal L1,Offer2,Call Center,635.020091,SUV,Small,1,5.282139633691702
RD53171,Arizona,3063.114594,No,Extended,College,2/28/2011,Unemployed,F,0,Suburban,Single,95,14,57,2,1,Personal Auto,Personal L2,Offer1,Agent,456.0,Two-Door Car,Medsize,0,-0.5469230991089812
AA93585,California,7083.642205,No,Premium,College,1/30/2011,Employed,M,97024,Urban,Married,177,0,68,0,1,Personal Auto,Personal L2,Offer2,Branch,686.815162,SUV,Medsize,0,0.26237565320526085
ST59524,Oregon,2657.5704309999996,No,Basic,College,1/13/2011,Unemployed,M,0,Suburban,Married,71,22,25,0,1,Personal Auto,Personal L1,Offer3,Call Center,340.8,Four-Door Car,Medsize,0,-0.6285557644900781
WO90953,Oregon,5387.926265,No,Basic,College,1/21/2011,Employed,F,56835,Suburban,Married,67,25,16,0,3,Personal Auto,Personal L3,Offer1,Branch,326.549425,Two-Door Car,Small,0,-0.07895785505537228
EN21086,Arizona,6889.097981,No,Basic,High School or Below,1/9/2011,Unemployed,F,0,Suburban,Divorced,63,6,12,0,2,Personal Auto,Personal L2,Offer1,Branch,302.4,Four-Door Car,Small,0,0.22321551976347548
KG81168,Arizona,2826.307641,No,Basic,Bachelor,1/12/2011,Employed,M,65090,Rural,Married,71,28,3,0,1,Personal Auto,Personal L3,Offer3,Agent,73.99509599999999,Four-Door Car,Medsize,0,-0.5945903682201041
IQ24777,Nevada,8044.872393000001,Yes,Basic,Bachelor,2/19/2011,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal Auto,Personal L2,Offer2,Agent,284.000172,Four-Door Car,Medsize,0,0.4558632914214046
KP34198,California,3343.8753260000003,No,Extended,Bachelor,2/7/2011,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,529.624084,Four-Door Car,Medsize,0,-0.49040830003515545
MQ48266,Arizona,5564.957596,No,Basic,Bachelor,1/11/2011,Employed,F,46507,Urban,Married,73,17,32,4,3,Personal Auto,Personal L3,Offer1,Agent,325.56933399999997,Two-Door Car,Medsize,0,-0.04332292124547991
WL86517,Nevada,4013.959621,No,Extended,Doctor,2/6/2011,Employed,F,93284,Suburban,Married,99,7,26,0,1,Personal Auto,Personal L3,Offer3,Web,475.2,Two-Door Car,Medsize,0,-0.3555259073847078
HZ39407,Washington,2686.535218,No,Basic,Master,2/18/2011,Disabled,M,26713,Rural,Divorced,71,22,69,0,1,Personal Auto,Personal L1,Offer1,Agent,142.69531899999998,Four-Door Car,Medsize,0,-0.6227253938899573
DO60145,Arizona,4270.034393999999,Yes,Extended,College,1/19/2011,Unemployed,M,0,Suburban,Married,122,27,2,0,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,0,-0.3039801864397628
ZL23478,California,33451.7935,No,Extended,Bachelor,2/11/2011,Employed,F,85689,Urban,Married,92,5,8,0,2,Corporate Auto,Corporate L3,Offer1,Agent,237.94682200000003,Four-Door Car,Small,1,5.570065093141472
XJ61632,Oregon,2034.993043,No,Basic,Bachelor,1/16/2011,Unemployed,M,0,Suburban,Single,62,29,59,2,1,Personal Auto,Personal L1,Offer1,Web,446.4,Four-Door Car,Medsize,0,-0.7538754120778581
FE84109,Washington,6540.204626,No,Extended,Bachelor,1/21/2011,Disabled,M,21156,Rural,Divorced,89,2,32,0,8,Personal Auto,Personal L2,Offer1,Web,111.836561,Two-Door Car,Medsize,0,0.1529861906277403
GE87503,California,18211.14319,No,Premium,High School or Below,2/7/2011,Employed,M,53690,Suburban,Married,154,20,97,0,2,Personal Auto,Personal L3,Offer4,Call Center,739.2,SUV,Small,1,2.502249006865957
HZ25580,Washington,2396.192355,No,Basic,High School or Below,1/31/2011,Employed,F,39062,Suburban,Divorced,61,2,20,0,1,Corporate Auto,Corporate L3,Offer2,Agent,346.991025,Two-Door Car,Medsize,0,-0.6811689961988595
FG99706,Oregon,5521.542577,No,Extended,College,1/6/2011,Unemployed,F,0,Suburban,Single,77,20,89,0,9,Personal Auto,Personal L3,Offer1,Agent,369.6,Four-Door Car,Medsize,0,-0.05206200330333451
TN82637,Nevada,11236.31135,No,Basic,College,1/11/2011,Employed,M,21636,Urban,Married,64,2,24,5,2,Personal Auto,Personal L2,Offer2,Branch,213.587367,Two-Door Car,Medsize,0,1.098273396732124
HW62747,Oregon,2298.379166,No,Basic,College,1/2/2011,Unemployed,M,0,Suburban,Married,63,19,9,0,1,Corporate Auto,Corporate L1,Offer2,Branch,302.4,Four-Door Car,Small,0,-0.7008579772174199
HT92952,California,8838.085637,Yes,Basic,Bachelor,1/21/2011,Employed,M,82664,Rural,Married,114,24,10,3,9,Corporate Auto,Corporate L3,Offer2,Agent,133.425609,SUV,Medsize,0,0.6155305169198672
QS70017,Arizona,8738.401012999999,No,Premium,Bachelor,1/26/2011,Employed,M,43597,Suburban,Married,110,20,24,0,6,Personal Auto,Personal L3,Offer1,Agent,528.0,Two-Door Car,Medsize,0,0.5954648316084685
HM93220,Arizona,15266.48446,No,Extended,High School or Below,2/9/2011,Medical Leave,F,25852,Suburban,Married,135,29,71,1,2,Personal Auto,Personal L2,Offer1,Agent,648.0,Sports Car,Medsize,0,1.9095137077325421
BA19651,California,6134.38779,No,Extended,High School or Below,1/1/2011,Employed,M,43875,Urban,Divorced,78,18,33,0,5,Corporate Auto,Corporate L3,Offer3,Agent,289.468771,Four-Door Car,Medsize,0,0.07129863844072129
GY65868,California,20600.23958,No,Extended,Bachelor,2/18/2011,Employed,M,64541,Urban,Married,86,16,43,0,2,Personal Auto,Personal L3,Offer3,Agent,256.27963700000004,Four-Door Car,Small,1,2.9831542299256135
NT89061,Arizona,6323.923864,No,Extended,High School or Below,1/7/2011,Employed,F,78532,Suburban,Married,78,25,87,0,3,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,0,0.10945067296153092
PT73521,California,2732.613084,No,Basic,College,2/8/2011,Employed,M,42968,Suburban,Married,69,15,85,0,1,Personal Auto,Personal L1,Offer3,Agent,331.2,Four-Door Car,Medsize,0,-0.6134503028891949
ON74557,California,14651.6153,No,Extended,Bachelor,1/6/2011,Employed,M,74915,Urban,Married,122,13,17,0,2,Personal Auto,Personal L2,Offer3,Branch,393.151377,SUV,Medsize,0,1.7857456622991374
GR31499,Oregon,2541.627614,No,Basic,Master,1/19/2011,Employed,F,23692,Suburban,Married,65,26,27,2,1,Personal Auto,Personal L3,Offer3,Agent,312.0,Two-Door Car,Medsize,0,-0.6518940887640308
NK26146,Washington,7072.928970999999,No,Basic,College,2/11/2011,Employed,F,90551,Suburban,Divorced,61,28,4,4,2,Corporate Auto,Corporate L3,Offer4,Call Center,374.527412,Four-Door Car,Small,0,0.260219168348465
EU38033,Nevada,5897.745369,No,Basic,High School or Below,2/3/2011,Employed,M,39188,Suburban,Divorced,74,9,2,0,3,Personal Auto,Personal L3,Offer3,Web,355.2,Four-Door Car,Medsize,0,0.02366448825208795
RA17555,Oregon,5176.730072,No,Basic,High School or Below,2/7/2011,Employed,M,41533,Urban,Married,65,2,46,0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.87976600000002,Four-Door Car,Medsize,0,-0.12146989129180684
VT78222,Oregon,9267.920019,No,Basic,Master,2/17/2011,Employed,M,55808,Urban,Married,116,31,4,0,7,Personal Auto,Personal L3,Offer2,Call Center,551.413755,SUV,Small,0,0.7020526012608923
QA49556,Washington,5200.22777,No,Basic,Master,1/31/2011,Employed,M,23401,Suburban,Single,66,17,34,0,3,Personal Auto,Personal L2,Offer4,Web,316.8,Four-Door Car,Medsize,0,-0.11674000021441984
KD16729,Nevada,6645.928117,No,Extended,College,1/25/2011,Employed,M,21144,Urban,Married,86,6,98,0,8,Personal Auto,Personal L2,Offer1,Branch,391.446775,Two-Door Car,Medsize,0,0.17426744961536986
NY97446,Oregon,2746.1213829999997,No,Basic,High School or Below,1/6/2011,Employed,F,96339,Urban,Married,68,1,44,0,1,Corporate Auto,Corporate L1,Offer2,Branch,293.205349,Four-Door Car,Medsize,0,-0.6107311947063093
UA50747,Washington,25997.74996,No,Basic,High School or Below,2/20/2011,Employed,F,62262,Urban,Married,72,17,2,0,2,Corporate Auto,Corporate L3,Offer4,Branch,193.505325,Four-Door Car,Small,1,4.0696281554337865
MQ73697,Nevada,3776.6655060000003,No,Extended,College,2/21/2011,Employed,F,68727,Urban,Married,94,19,76,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,386.520235,Two-Door Car,Large,0,-0.40329123815263823
IA87250,Arizona,2620.903729,No,Basic,Master,2/7/2011,Employed,F,39278,Rural,Divorced,66,29,45,0,1,Personal Auto,Personal L2,Offer4,Branch,65.59021700000001,Four-Door Car,Medsize,0,-0.6359364664902061
ZS36394,California,5504.1390329999995,Yes,Basic,Bachelor,2/8/2011,Unemployed,F,0,Suburban,Married,73,18,45,0,5,Corporate Auto,Corporate L1,Offer1,Call Center,350.4,Four-Door Car,Medsize,0,-0.05556519189144705
XX84133,California,5254.734278,No,Basic,Bachelor,2/4/2011,Employed,M,34476,Rural,Married,67,23,49,1,3,Corporate Auto,Corporate L2,Offer4,Call Center,5.3953,Four-Door Car,Medsize,0,-0.10576829371582074
MU63232,Arizona,5351.853544,No,Extended,Master,2/18/2011,Employed,M,54817,Rural,Single,137,24,28,0,1,Personal Auto,Personal L2,Offer2,Agent,209.504391,SUV,Medsize,0,-0.08621899362285969
UM69933,Nevada,2489.337928,No,Basic,College,2/15/2011,Employed,M,46051,Suburban,Married,63,16,34,0,1,Personal Auto,Personal L1,Offer3,Branch,302.4,Two-Door Car,Large,0,-0.6624195674407405
QP76867,Oregon,16152.90489,No,Basic,College,2/21/2011,Unemployed,M,0,Suburban,Divorced,109,12,66,0,2,Personal Auto,Personal L3,Offer1,Agent,852.460341,Sports Car,Large,0,2.0879427641733272
DW19309,Oregon,14226.50485,No,Premium,High School or Below,1/8/2011,Employed,M,65726,Suburban,Married,177,35,90,0,7,Corporate Auto,Corporate L1,Offer1,Agent,849.6,SUV,Medsize,0,1.7001744661607343
VZ81004,Oregon,19259.84494,No,Premium,Master,1/26/2011,Employed,F,35973,Suburban,Married,159,5,97,0,2,Personal Auto,Personal L2,Offer1,Call Center,763.2,Sports Car,Large,1,2.713343942640734
QX42433,California,7390.903278,No,Extended,College,2/24/2011,Employed,M,30449,Suburban,Married,92,23,47,0,3,Personal Auto,Personal L3,Offer1,Agent,501.092992,Four-Door Car,Medsize,0,0.3242247504066567
KZ60207,Arizona,5007.672425,No,Basic,College,1/16/2011,Employed,M,51523,Suburban,Married,62,31,0,0,3,Personal Auto,Personal L2,Offer4,Agent,297.6,Four-Door Car,Small,0,-0.1554997888634472
KP96020,Arizona,4330.769101,No,Basic,Bachelor,2/27/2011,Employed,F,39660,Urban,Married,107,3,46,0,1,Corporate Auto,Corporate L2,Offer1,Agent,416.8496,Sports Car,Small,0,-0.29175479530880977
WW85018,Washington,6293.963715999999,No,Extended,Bachelor,1/27/2011,Employed,M,45430,Suburban,Single,81,21,37,0,8,Personal Auto,Personal L1,Offer1,Agent,388.8,Two-Door Car,Large,0,0.10341994447474903
EI29901,Arizona,7295.42703,No,Basic,Bachelor,2/12/2011,Employed,M,26849,Rural,Married,62,5,0,0,2,Personal Auto,Personal L3,Offer4,Agent,38.309313,Four-Door Car,Medsize,0,0.3050061761651465
BC66536,Arizona,6883.686618000001,No,Extended,High School or Below,2/26/2011,Employed,F,84869,Suburban,Married,85,5,65,0,4,Corporate Auto,Corporate L2,Offer2,Web,408.0,Four-Door Car,Medsize,0,0.22212625742083245
OG36837,Arizona,7648.25947,No,Extended,Doctor,1/22/2011,Employed,F,91071,Urban,Married,94,21,25,2,3,Personal Auto,Personal L1,Offer2,Call Center,402.74168,Four-Door Car,Medsize,0,0.37602841033330525
RE36747,Nevada,3034.771777,No,Extended,High School or Below,1/20/2011,Medical Leave,M,17308,Suburban,Married,82,10,86,0,1,Personal Auto,Personal L2,Offer2,Branch,874.3243380000001,Four-Door Car,Small,0,-0.5526282723236643
KN57002,Arizona,9015.915395,No,Extended,Bachelor,1/23/2011,Unemployed,M,0,Suburban,Single,130,32,38,0,4,Corporate Auto,Corporate L2,Offer1,Agent,936.0,SUV,Small,0,0.6513261674409558
DM59629,California,6411.675304,No,Extended,Bachelor,2/8/2011,Employed,F,47606,Suburban,Divorced,81,24,50,0,4,Personal Auto,Personal L3,Offer3,Agent,388.8,Two-Door Car,Small,0,0.12711430763263182
JX50349,Oregon,2472.469209,Yes,Basic,College,1/20/2011,Employed,F,63860,Urban,Married,62,26,81,0,1,Personal Auto,Personal L1,Offer2,Agent,208.598246,Four-Door Car,Medsize,0,-0.6658151002067608
QO16222,California,6383.6111359999995,No,Basic,College,2/27/2011,Unemployed,F,0,Suburban,Single,196,13,74,2,1,Personal Auto,Personal L3,Offer2,Call Center,2327.1663940000003,Luxury SUV,Small,0,0.12146522414294306
GX51965,California,8564.768226,Yes,Basic,High School or Below,2/17/2011,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Personal L1,Offer2,Agent,178.006524,Sports Car,Medsize,0,0.560513996425672
UZ86963,California,9333.076001000001,No,Extended,High School or Below,1/28/2011,Unemployed,F,0,Suburban,Single,129,33,14,0,3,Corporate Auto,Corporate L2,Offer1,Agent,928.8,Sports Car,Medsize,0,0.71516795825885
KX32370,California,7078.948598999999,No,Extended,College,1/16/2011,Employed,M,23222,Urban,Married,90,10,66,0,4,Corporate Auto,Corporate L3,Offer3,Branch,252.938842,Two-Door Car,Large,0,0.2614308693740884
II37804,Nevada,4198.030022999999,No,Basic,Bachelor,2/8/2011,Employed,M,39913,Urban,Married,106,16,61,0,1,Personal Auto,Personal L3,Offer1,Agent,344.765129,SUV,Small,0,-0.3184740671563233
